,UserID,ScreenName,Party,BotScore
1244,19156574,JPMcJefferson,Congress,0.3551862170861128
1245,991907597031686144,industrialbiot,Congress,0.9144161859602663
1246,1056059619032805376,DermatologyCon4,Congress,0.9318767534287423
1249,184974902,GeriSK,Congress,0.22179568769021463
1250,388217232,prateekjain96,Congress,0.06078011352084069
1253,472929055,CulturalTweetly,Congress,0.5565870373496533
1256,810702963937251328,IndInitiatives,Congress,0.1701324265302999
1260,778196298,CagninaJudy,Congress,0.0825396626774012
1269,117985156,HusainTR,Congress,0.0825396626774012
1271,1056552158,MuleN40,Congress,0.14812070832967303
1273,893993077,MicheleRWright1,Congress,0.13802618960216584
1274,849307129487994881,AsadAbbas4K,Congress,0.5768086562548855
1280,1078624210547728384,IP_Circus,Congress,0.8572017689651149
1283,2161916196,Nakko60,Congress,0.23633691139538376
1285,2978952457,FarnazFever,Congress,0.49505756400804624
1289,367932654,Tierrah46,Congress,0.2079055732880228
1298,106212919,ACHopkinson,Congress,0.14812070832967303
1301,74611497,DrChandraMittal,Congress,0.19466773728450495
1303,15692273,madmilker,Congress,0.28378247513569405
1307,3086975121,PowerPost,Congress,0.11956986651967942
1310,39930604,DebbiDelicious,Congress,0.3551862170861128
1316,148298115,karan2404,Congress,0.1701324265302999
1322,28461146,missi51,Congress,0.13802618960216584
1323,74162921,jhallevicharblo,Congress,0.413569897933165
1329,50173920,thethirdofmarch,Congress,0.18207903130928815
1339,1074156618089148416,wildefan1,Congress,0.14812070832967303
1340,1179672480,svivek916,Congress,0.5967761711282766
1343,2610325699,45thPresofUSA,Congress,0.5565870373496533
1345,226310002,IAM__Network,Congress,0.5565870373496533
1348,834169604,mikepicone55,Congress,0.15881746424200632
1350,4737274874,2weet_harshit,Congress,0.1285158337598371
1356,25105436,pozmagazine,Congress,0.14812070832967303
1362,3090022152,a2zstartup,Congress,0.0825396626774012
1381,272005814,BenjaminHCCarr,Congress,0.11956986651967942
1387,472226622,SMJCanfield,Congress,0.08899515596679244
1389,830433763410735104,scb1932,Congress,0.3184188561317807
1393,248300454,TRafaelCimino,Congress,0.14812070832967303
1394,930235177,Fabs_PMB,Congress,0.13802618960216584
1402,1075067699640688640,Janakir69302496,Congress,0.28378247513569405
1404,1131336583,EFORTnet,Congress,0.3742667881821624
1412,1070793081006415872,Vagish525,Congress,0.635706839522915
1415,126450671,ConservativeMag,Congress,0.6729387518017023
1419,2556810016,Surasen3,Congress,0.08899515596679244
1428,14288786,joeltesch,Congress,0.04447883217419818
1429,900337974583463936,votegirlvote,Congress,0.4336774335329319
1434,239661086,muralimbhat,Congress,0.11956986651967942
1435,88596401,ECLankford,Congress,0.11956986651967942
1438,49464307,DeadPoolLiberty,Congress,0.22179568769021463
1444,219270801,AndaluzaJASP,Congress,0.08899515596679244
1454,733058159514910721,workingideal,Congress,0.13802618960216584
1457,149573732,MarcelloTRV,Congress,0.33655519548719853
1461,1024905483893633025,MicrobiologyCo2,Congress,0.5156433305312286
1465,395230516,uddhavshelke,Congress,0.28378247513569405
1470,2612869794,GISP_Tweets,Congress,0.14812070832967303
1471,907658324966903808,gbmdphilwah,Congress,0.49505756400804624
1474,2573590074,DaveLovesGod,Congress,0.22179568769021463
1486,828421024433610752,TidingsCentral,Congress,0.8572017689651149
1489,742617624886935553,patialapolitics,Congress,0.5361761477678701
1493,61820944,lunini,Congress,0.3184188561317807
1494,578202060,DrGarekar,Congress,0.0825396626774012
1504,57407600,MetroFocus,Congress,0.1285158337598371
1505,83904292,gwpro,Congress,0.7713044789889335
1507,27841901,Deplorabl_Jack,Congress,0.33655519548719853
1508,1307997296,AdharmNashak,Congress,0.041106740219567735
1509,398871099,_bankista,Congress,0.26734400306340506
1510,839627124050841601,CatholicLady10,Congress,0.413569897933165
1515,799531411,StormyVNV,Congress,0.4540057291614072
1517,986084280831913984,Biotechnology2k,Congress,0.9605484476373263
1522,581648203,Trendolizer,Congress,0.8242118832176379
1524,16225955,cowboytexas,Congress,0.49505756400804624
1526,60755160,tabortime,Congress,0.15881746424200632
1527,21096604,Dustoff_45,Congress,0.19466773728450495
1531,158295414,meenakshisharan,Congress,0.10328573467123618
1535,1362582427,Zoot16,Congress,0.11116719108518804
1536,103020566,Puliyogare_Mix,Congress,0.04811366570775446
1537,43381418,ThisMorningShow,Congress,0.300816711527256
1540,3313034930,anant309,Congress,0.07089257330076087
1547,945692730759548928,shehejad7,Congress,0.25152334764543
1551,1191378554,lawtonrpc,Congress,0.3742667881821624
1554,1068737707038334976,rahul_7923,Congress,0.33655519548719853
1558,548626876,VikrantaYadav,Congress,0.11116719108518804
1559,79397790,pradeep_phadke,Congress,0.5768086562548855
1560,273603668,AndreaBonac,Congress,0.300816711527256
1568,178395557,GoldRetriever99,Congress,0.1701324265302999
1572,2386405406,Republic_Can,Congress,0.413569897933165
1574,1082285956697374720,bakerycongress,Congress,0.413569897933165
1576,3492524835,MarkyDigger,Congress,0.06078011352084069
1580,3727627940,TSGaxe,Congress,0.25152334764543
1581,34842246,MissAmericaPie,Congress,0.4744885412906753
1584,809573496,XDEATHXTRAINX,Congress,0.7081126267613624
1587,547444925,Light_Of_Day_,Congress,0.6908019160064479
1588,1077703842148438016,girlfromoz1,Congress,0.28378247513569405
1589,416959036,BeingVenkat,Congress,0.09590276214117437
1590,304764693,larry_irving,Congress,0.06078011352084069
1593,170593896,BANGLARMAATI,Congress,0.8762045479593887
1594,593603712,VamsiChandReddy,Congress,0.03508264339315584
1596,3290364847,statnews,Congress,0.13802618960216584
1597,15822295,codepink,Congress,0.22179568769021463
1598,70015978,LeslieNezumi,Congress,0.2079055732880228
1599,827501045550944256,jmp022871,Congress,0.22179568769021463
1600,276394575,hiren_r,Congress,0.06565556198004287
1602,2440469054,SophieChandauka,Congress,0.19466773728450495
1603,31577510,steve_hurley,Congress,0.11956986651967942
1604,1044299159245852672,tipsandtricksc,Congress,0.8762045479593887
1609,817499242327638020,RGlobalism,Congress,0.18207903130928815
1610,24500577,NicholasBallasy,Congress,0.0825396626774012
1612,834029476572962817,ISOBOLO1,Congress,0.4336774335329319
1614,358231363,ConservetiveOne,Congress,0.3742667881821624
1616,2359537176,jayoung1892,Congress,0.4744885412906753
1619,709986828066144257,CCLSVN,Congress,0.4540057291614072
1620,2559208231,Puttu_Maani,Congress,0.04811366570775446
1623,2927859907,RplcCapr,Congress,0.33655519548719853
1624,47479606,womensfunding,Congress,0.14812070832967303
1626,770124624243884033,pinakparekh4u,Congress,0.15881746424200632
1627,118058516,timschreiernyc,Congress,0.3184188561317807
1628,266367920,steventaetz,Congress,0.0825396626774012
1644,28260368,SQAttorneys,Congress,0.5361761477678701
1648,168425731,Agenparl,Congress,0.5565870373496533
1649,823359065552261120,AllergicToCNN,Congress,0.25152334764543
1650,1358818963,shweta_arien,Congress,0.04811366570775446
1652,981918634925686785,badarpurkxj1998,Congress,0.6729387518017023
1653,254227007,walleye7300,Congress,0.1285158337598371
1660,327150426,SusanDarraj,Congress,0.15881746424200632
1661,26623392,LeadingAge,Congress,0.393746460000491
1662,1268441868,judyvineyard,Congress,0.28378247513569405
1665,735645005079928832,KyleOlbert,Congress,0.11116719108518804
1674,741567239019761664,mark_selby723,Congress,0.5361761477678701
1678,2984340345,KarenBRubin,Congress,0.1285158337598371
1686,2875327546,VoteRed_RK,Congress,0.0825396626774012
1694,2464883898,fasticongress,Congress,0.5967761711282766
1698,1059412952426729472,EBIC2019_,Congress,0.7713044789889335
1699,2346379789,JameelSpeaks,Congress,0.07651310672792835
1704,491893118,YBGB_Institute,Congress,0.1701324265302999
1707,77139806,skygriepp,Congress,0.07651310672792835
1708,120113167,saying_as_it_is,Congress,0.07089257330076087
1711,918917200563630081,perfectdomain1,Congress,0.9369230763705965
1712,2392878835,IMAZionist,Congress,0.09590276214117437
1713,2228476982,DrTaylorWallace,Congress,0.19466773728450495
1716,3290405243,drmatthewweed,Congress,0.09590276214117437
1720,415304375,StephieGilley,Congress,0.14812070832967303
1724,970140879393579009,Susan_Larson_TN,Congress,0.3742667881821624
1728,133052366,usatodayopinion,Congress,0.23633691139538376
1730,142979922,BradBannon,Congress,0.14812070832967303
1732,363883148,dhiggins63,Congress,0.3184188561317807
1734,20644539,mikemelo,Congress,0.33655519548719853
1735,3240498437,USJusticeAction,Congress,0.11116719108518804
1737,1210332085,bunkerhillexpre,Congress,0.13802618960216584
1738,1050310831144128512,Pappu4201,Congress,0.2079055732880228
1740,48640573,badmanrahul,Congress,0.07651310672792835
1744,1696582363,BenDelaneyNow,Congress,0.11956986651967942
1746,14158731,bcadgroup,Congress,0.15881746424200632
1749,3311730506,VishalK03006226,Congress,0.06565556198004287
1751,87988638,TachiMine,Congress,0.11116719108518804
1756,15567188,dinahcreates,Congress,0.0825396626774012
1763,747441357225025536,MistryAnkurr,Congress,0.1285158337598371
1770,990761677,MumbaiMirror,Congress,0.03508264339315584
1771,3773193373,sushmitadharghy,Congress,0.07651310672792835
1772,373974651,JohnHSweeney,Congress,0.1701324265302999
1774,143298690,phsu54,Congress,0.5361761477678701
1776,3750265342,Ms1Scs,Congress,0.3742667881821624
1779,966709303762653184,davedodson307,Congress,0.18207903130928815
1781,278905379,DrAVSriv,Congress,0.08899515596679244
1787,284704352,rhomansjr,Congress,0.15881746424200632
1795,824248823174332417,BeachCat0201,Congress,0.13802618960216584
1800,47796987,tomofsnj,Congress,0.6545596461071505
1806,418087217,subroto3790,Congress,0.1285158337598371
1807,2439454230,rajitkar,Congress,0.11956986651967942
1808,803593314834317312,DianeDobbins311,Congress,0.23633691139538376
1810,124121096,ahmedabadmirror,Congress,0.06565556198004287
1811,15362739,eric_elwell,Congress,0.08899515596679244
1812,838762819,BryanDeleonTX,Congress,0.0825396626774012
1816,216740490,timothyjshaffer,Congress,0.10328573467123618
1818,271427055,top10newsonline,Congress,0.8572017689651149
1821,225829559,RSR_MeriDuniya,Congress,0.11956986651967942
1822,1908627954,JasonMBrodsky,Congress,0.19466773728450495
1823,772868395167604736,greenladiesc,Congress,0.7990584410047699
1824,189126566,ubaltmain,Congress,0.4744885412906753
1825,4224096034,GotJanie,Congress,0.393746460000491
1832,1030980920,RoshanSdrprop,Congress,0.15881746424200632
1838,800441413,PaudelyZamora,Congress,0.3551862170861128
1842,73583664,LaNanHan,Congress,0.09590276214117437
1844,3230940486,JyotirvidI,Congress,0.1285158337598371
1849,917247689930170368,AllenHyman5,Congress,0.10328573467123618
1854,4508408232,NetaAvilash,Congress,0.09590276214117437
1857,22455433,Vivalanadia,Congress,0.15881746424200632
1859,968397955,ltbloom50,Congress,0.07089257330076087
1863,2181157051,OFCCP_Politics,Congress,0.0825396626774012
1867,401074899,AlekzanderFrost,Congress,0.11116719108518804
1868,152377112,Suumandey,Congress,0.08899515596679244
1875,1512251,blackc2004,Congress,0.10328573467123618
1876,60618233,Salions,Congress,0.11116719108518804
1883,928021658027278336,AnnnCoulter,Congress,0.300816711527256
1886,2335537807,xelu3banh,Congress,0.7409598586102422
1888,18199486,haldonahue,Congress,0.2079055732880228
1892,280604607,NRECANews,Congress,0.1701324265302999
1893,1495222502,swapnil_karma,Congress,0.06078011352084069
1896,1672006938,Desi4Modi,Congress,0.1285158337598371
1898,3151723815,OUPPolitics,Congress,0.25152334764543
1907,841829095017082880,thepurplepatri1,Congress,0.5361761477678701
1908,910327496,BigSky3450,Congress,0.11116719108518804
1911,530820305,Nascar40forever,Congress,0.06565556198004287
1915,18192238,SengCenter,Congress,0.1285158337598371
1921,77017567,congressfdn,Congress,0.26734400306340506
1923,1225233846,SachinDave_,Congress,0.09590276214117437
1928,1244123617,shayken13,Congress,0.5156433305312286
1930,1169914286,vinmaxinfotech,Congress,0.413569897933165
1931,40717489,paulinepark,Congress,0.4336774335329319
1934,755524418,JCraigKY,Congress,0.1285158337598371
1938,15080204,danpass,Congress,0.10328573467123618
1941,936606749628366849,shashi823004,Congress,0.3184188561317807
1943,113847471,singhpawanveer,Congress,0.07089257330076087
1945,19787029,WGLTNews,Congress,0.1285158337598371
1947,1040592917591552000,bollywoodgreek,Congress,0.3742667881821624
1954,107433408,Bldr_John,Congress,0.14812070832967303
1956,390818544,apoorvasingh20,Congress,NA
1958,280924003,Paras_1001,Congress,0.26734400306340506
1960,49558215,NishidhMPatel,Congress,0.06078011352084069
1964,2589197658,TheRant14,Congress,0.0825396626774012
1971,1002202178134597633,StndWthIsrael,Congress,0.33655519548719853
1973,819971372,BeTheLightSSJBT,Congress,0.22179568769021463
1978,25694578,johndk7,Congress,0.4336774335329319
1979,80136183,JoshPNamm,Congress,0.3742667881821624
1986,2391345684,USSANews,Congress,0.5156433305312286
1988,260379848,dasnakul,Congress,0.14812070832967303
1990,1852319167,Hahns46,Congress,0.49505756400804624
1991,2849377893,AffordARide,Congress,0.08899515596679244
1992,84220386,SmarterSafer,Congress,0.10328573467123618
1993,36059407,EquipmentToday,Congress,0.28378247513569405
1994,193587297,toto2100,Congress,0.1285158337598371
1995,929729221,JugularGrasp,Congress,0.3742667881821624
1998,53400136,Toni_Scurlock,Congress,0.15881746424200632
1999,442078977,BrettonWoodsCom,Congress,0.1285158337598371
2000,783742315282051072,colo_politics,Congress,0.4744885412906753
2002,2966883850,MikeMalloy9,Congress,0.11116719108518804
2003,1067803246717071360,feed_qa,Congress,0.3742667881821624
2006,369701707,ALLREDToDoRoJo,Congress,0.5156433305312286
2007,2737364738,roufaminnews5,Congress,0.4744885412906753
2008,814477876951154688,mywave18,Congress,0.08899515596679244
2013,1081468551377154048,naresh8091,Congress,0.3551862170861128
2015,935965987689525248,AkshayRaghunat3,Congress,0.13802618960216584
2019,47385801,DAVIDCOMFORT,Congress,0.300816711527256
2022,19929998,marknilsstrand,Congress,0.10328573467123618
2024,49682759,theplanetmills,Congress,0.09590276214117437
2025,737167328,RedWedgeMag,Congress,0.2079055732880228
2029,1359973026,CscBeth,Congress,0.10328573467123618
2031,2307118986,OCWR_LegBranch,Congress,0.23633691139538376
2033,709556297025392640,LilPolkSalad,Congress,NA
2036,274117490,DianeFCNL,Congress,0.1285158337598371
2037,2176637216,quack1612,Congress,0.1285158337598371
2038,26134438,CindyReynolds,Congress,0.04447883217419818
2040,915002523584487424,upoliticsnow,Congress,0.5361761477678701
2042,20950048,RyFrost,Congress,0.06565556198004287
2044,33080899,t0nyhale,Congress,0.4336774335329319
2047,102148991,DrBronner,Congress,0.14812070832967303
2049,4795064208,EB5Daily,Congress,0.3742667881821624
2055,1468074919,4ponygirl,Congress,0.413569897933165
2058,931068404592553984,SilkyJoshiMalik,Congress,0.11956986651967942
2062,1497534816,Jayaa03,Congress,NA
2066,1350363212,DennisCGarcia,Congress,0.07651310672792835
2067,1968112201,AprilYoungB,Congress,0.1701324265302999
2068,4655429956,MaxCybersec,Congress,0.3551862170861128
2070,706871180821553152,a_nosbush,Congress,0.26734400306340506
2071,2366225917,DavidKatalenas,Congress,0.3742667881821624
2078,25920771,tomjaycox,Congress,0.1701324265302999
2082,2976040366,pvnninc,Congress,0.13802618960216584
2083,36361956,napernurse,Congress,0.25152334764543
2084,60932386,Rob_Rogers,Congress,0.041106740219567735
2086,2167468956,MoptwoLLC,Congress,0.25152334764543
2087,923266915,CelempJack,Congress,0.13802618960216584
2089,1581898908,specht_andy,Congress,0.13802618960216584
2090,20237033,KingofCars9873,Congress,0.19466773728450495
